V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20
0.999999982611077	0.000137202146593534	-2.26471582354583e-05	4.26960202642959e-06	-7.30958762901594e-06	-3.74981139652483e-07	-4.79472970253671e-06	-4.92245175120096e-05	-7.7985680192435e-07	-6.38101957248491e-06	-4.56411331232031e-06	-1.70424386087027e-06	2.18695061909558e-06	1.6662845268646e-06	1.02312149097089e-06	-1.73005496253438e-06	1.82948171844313e-06	-3.32810771351415e-07	-1.77024429207456e-05	4.61693659288065e-06
-0.00031923190941753	0.999999947530111	-1.70470230595838e-05	-1.62641086171655e-05	-6.10185017310433e-06	4.35900343018535e-07	-4.59228625887877e-06	-1.25299789702329e-05	-4.65390672743768e-07	-1.39760400024988e-08	1.52700797657137e-06	-1.94675991857601e-07	-8.49536115105444e-07	3.37794985708068e-07	-6.27747165750553e-07	-1.37462251573956e-06	-4.05922300852794e-07	-7.00849411610395e-07	-2.71637666137334e-06	1.05521191924812e-06
-0.000100020076848772	-2.29425702805013e-05	-0.999999987026827	8.34091722275585e-05	-9.62175973098707e-06	-8.26441791816339e-06	-3.16123742173029e-06	-1.04775161566603e-05	4.89974352962212e-06	1.5736735677497e-06	5.41538567487065e-07	2.44368064730319e-06	1.08378973437272e-06	4.33419430752203e-06	6.85298058609714e-07	-1.55485472273697e-06	1.67157233829691e-06	-2.68086309376737e-06	-4.14630291355991e-06	3.11455013058018e-06
-5.07447741423877e-05	1.27386374630838e-05	8.49711813601897e-05	0.999999990716221	5.02603366407203e-06	-4.77813230892288e-06	-6.98400622345396e-06	-1.52566278144711e-05	-3.65406755954673e-06	-2.75664601659339e-06	4.31154924703445e-07	1.8785046173378e-07	6.60160892922678e-07	-4.82347856269405e-07	-1.52813429264726e-07	2.72075563499854e-06	-1.05437554979658e-06	4.916024468545e-06	-1.00911353355055e-06	1.15292256260761e-06
-0.000443158869624661	-3.73456536836752e-05	2.82256362561756e-05	-7.20725266428423e-06	-0.99759325671027	-0.0692108606394617	-0.00153862368330063	-0.00361121662604089	-1.02789139159067e-05	5.91993519744049e-05	-2.7900651823924e-05	3.98641367177436e-05	8.02877004493676e-06	2.86177901763582e-05	-1.14827284115697e-05	1.08505646143363e-06	6.3904674998005e-05	-9.88340612370636e-06	-0.000388921317691911	0.000101906717573592
-2.61143587444373e-05	-1.67455122252367e-05	-3.2069347741279e-05	2.66964365136918e-05	-0.0707423840247168	0.997383642544468	0.00437865057575064	0.0126637166468313	-2.52409249620351e-06	-0.00104969429640818	-8.1515415421996e-05	-0.000130751251183283	4.14517797344731e-05	-1.52588770438687e-05	4.7032279400873e-05	-1.12616552447746e-05	-0.000442154409258235	4.85616037203457e-05	0.00163430080907547	-0.000315392115780131
0.000381204917274835	3.27213756504012e-05	-1.66847052600498e-05	1.55102549784338e-05	-0.00135232140929086	-0.00503648884569596	0.999980283671103	0.00335488611667867	2.27840740354071e-06	4.77242924797189e-05	4.58125525295441e-05	-1.6101356505543e-05	-6.43332801932764e-06	-2.6131994597598e-05	-3.98146393513646e-06	1.4461478157791e-06	-4.37855276221564e-05	4.6619302434665e-07	0.000230303668842209	-7.48483164657794e-05
-0.00477513865155407	-0.000367015162271841	0.000177288859271221	-0.000119083296675064	0.00402152992271756	0.0181355532910483	0.00447469847636925	-0.999730177332366	1.2720753473878e-05	-0.00110543545449256	-0.000798856392842882	0.000398433180650405	0.000208204666048267	0.000341539142536213	-6.06613637161376e-06	-0.000104761011125952	0.000555246345433418	-6.68837083062676e-05	-0.00361356650337722	0.00111821552478856
1.7636029478434e-05	1.86566251322125e-06	4.58310569474543e-06	3.82088547521391e-06	-6.95550268009638e-06	8.38594677403106e-05	-4.01473004630741e-07	2.35542783208115e-05	0.999999031423111	0.000756580973319784	-0.000137130143009497	-6.34811948965738e-05	2.33022641707741e-05	2.8043083699618e-05	-1.63778068779453e-05	1.94564730289612e-05	0.000178424163677445	4.61306540338766e-05	-0.000128539194182707	8.96361039071735e-05
0.00195297441803151	0.000154283181473996	-5.23479500695243e-05	3.25961489697287e-05	-6.17586722041477e-05	0.00479741986089502	-0.000133202886869979	-0.00298044368131666	-0.000801080551950808	0.999929530675658	0.00418668423879814	-0.000754996446555299	-0.000764211357262486	-0.000755990178386646	-0.000222132790999662	0.000219400575852969	0.00059735404727101	-5.26157303534892e-05	0.000521297086194963	-0.000513003810278932
