"rank","expected","before","after"
1,3.92699081703863e-11,4.20675164690499e-11,3.02502274755131e-11
554,4.81240416626556e-05,7.72488017412502e-05,5.55486518107829e-05
1107,0.00019233156082707,0.000299988631651016,0.000215718091040331
1660,0.000432650312023667,0.000634344692176652,0.000456149372410561
2213,0.000769126495464966,0.00112999420538006,0.000812564767970259
2766,0.00120182482519219,0.00170267142024038,0.00122436982502214
3319,0.0017308285695511,0.00248882881638345,0.00178968582323138
3872,0.00235623960331973,0.0032843657276772,0.00236174651403799
4426,0.00307957148249746,0.00429762194170437,0.00309036644547249
4979,0.00389835241865686,0.00550373742281864,0.00395766907533627
5532,0.00481395890780372,0.00680160086079326,0.00489094651898496
6085,0.00582656804180181,0.00820742094998165,0.00590185424677731
6638,0.006936375957503,0.00977770549730216,0.00703102631931163
7191,0.0081435979607847,0.0113862103971928,0.00818768217164767
7744,0.00944846866304761,0.0132802291639691,0.00954964749184966
8297,0.0108512421303548,0.0151851562072709,0.0109194568179251
8850,0.0123521920454111,0.0171803173080511,0.0123541523315835
9403,0.0139516118825989,0.0194518133994598,0.0139875568974415
9956,0.015649815096307,0.0217180003214711,0.0156171437056694
10509,0.017447135322804,0.0243074227762022,0.0174791651621404
11062,0.0193439265959334,0.0269412962593067,0.0193731507998295
11615,0.0213405635769215,0.0297289137599901,0.021377691846897
12168,0.0234374417986144,0.0325875961437082,0.0234333347668049
12722,0.0256390432060504,0.0356518885390481,0.0256368292868277
13275,0.0279378585278677,0.038762940800272,0.0278739482443841
13828,0.0303382304359074,0.0420986006247787,0.030272579704991
14381,0.0328406407327717,0.0455826038068027,0.0327778830275481
14934,0.035445593543484,0.0489538856328396,0.0352021298260656
15487,0.0381536156542175,0.0527286921799805,0.0379165462288281
16040,0.0409652568683131,0.056974274383689,0.0409694915464501
16593,0.0438810903801034,0.0611561020653565,0.0439765917808295
17146,0.0469017131670853,0.0655351579383896,0.0471255163527065
17699,0.0500277464010181,0.0698604469621511,0.0502357778525122
18252,0.0532598358785561,0.0740008135911344,0.0532130639599751
18805,0.0565986524720572,0.0783882760599523,0.0563680336102435
19358,0.060044892601249,0.082823029054858,0.059557009289193
19911,0.0635992787264674,0.0873636747042091,0.0628221310579008
20464,0.0672625598642266,0.0924854286230233,0.0665051205500834
21018,0.0710424346454442,0.0974917794520865,0.0701051251168566
21571,0.0749260623188039,0.103360702772576,0.0743253948257132
22124,0.0789209984295557,0.108828737562003,0.0782573905817707
22677,0.0830281039028956,0.11469435869152,0.082475285726201
23230,0.0872482691637435,0.120315281998819,0.0865172217124465
23783,0.0915824148047539,0.126671066572624,0.0910875872885651
24336,0.0960314922832658,0.132955405544156,0.0956065772213781
24889,0.100596484648355,0.139352944537434,0.100206967880819
25442,0.105278407299213,0.145437480201096,0.104582281741909
25995,0.110078308776154,0.151990535018677,0.109294501894891
26548,0.114997271585606,0.158832352894013,0.114214367968449
27101,0.120036413060545,0.166313372363415,0.119593875952113
27654,0.125196886257873,0.173640760449147,0.12486290952004
28207,0.130479880894377,0.18136816501824,0.130419589962119
28760,0.135886624322942,0.189130901861704,0.136001677402914
29314,0.141428499751044,0.196638589182356,0.141400361906474
29867,0.147086808137077,0.20427562588727,0.146892059942237
30420,0.152872786067696,0.212082876835622,0.152506156921787
30973,0.158787822149736,0.220128348979243,0.158291555797699
31526,0.16483334818002,0.228936172092939,0.164625151767155
32079,0.171010840404808,0.237978499040927,0.171127376524964
32632,0.177321820834467,0.246876920531571,0.177526120659598
33185,0.183767858616047,0.255560681315671,0.183770504952054
33738,0.19035057146657,0.264663629369251,0.19031632159234
34291,0.197071627170032,0.274298445167419,0.197244597707562
34844,0.203932745141289,0.284376124990313,0.204491331830605
35397,0.21093569806018,0.294592242163598,0.211837614529174
35950,0.218082313579485,0.304571139522295,0.219013315411766
36503,0.225374476110466,0.314596164833955,0.226222186331174
37056,0.23281412869006,0.325128690168049,0.233795994199826
37610,0.240417135175429,0.336032517218954,0.241636800511419
38163,0.2481581173006,0.346994157404238,0.249519179528339
38716,0.256052794240797,0.35881597733615,0.25802010309434
39269,0.264103364118881,0.370704230672354,0.266568798094466
39822,0.272312094407701,0.382819548557962,0.27528077238578
40375,0.280681324387256,0.393657856113436,0.283074464443733
40928,0.28921346771986,0.405437561655087,0.291545104075899
41481,0.297911015149935,0.4172371287926,0.30003002593443
42034,0.306776537335506,0.429287547896529,0.308695332319638
42587,0.315812687818982,0.442177954720718,0.317964663419099
43140,0.325022206145276,0.455082191582975,0.32724393952679
43693,0.334407921135912,0.468159001979716,0.336647311115094
44246,0.343972754328355,0.480666232507828,0.345641104909469
44799,0.353719723590443,0.494079153411299,0.35528616937957
45352,0.363651946920508,0.507692849253967,0.365075608609388
45906,0.373791120607187,0.521556859238445,0.375045045622905
46459,0.384103976716835,0.534727352270266,0.384515783228021
47012,0.394612089034457,0.549435767226342,0.395092421346244
47565,0.405319018426955,0.564494232209883,0.405920776082119
48118,0.416228448114156,0.579905517793007,0.417002839719572
48671,0.427344188853111,0.594718855562473,0.427654926526922
49224,0.438670184407439,0.610556534854618,0.439043604573179
49777,0.450210517320479,0.626283713236248,0.450352822790097
50330,0.461969415012517,0.642700925968595,0.462158236119709
50883,0.473951256223941,0.660036930258542,0.474624341022127
51436,0.486160577827897,0.677035117557275,0.486847525930994
51989,0.498602082037959,0.695555109356348,0.500165021514048
52542,0.511280644038367,0.714650926757135,0.513896586119951
53095,0.524201320066692,0.732232959318725,0.526539606890176
53649,0.537393395298141,0.750437575520797,0.539630319806929
54202,0.55081469787219,0.769805755632308,0.553557737047995
54755,0.564494468235218,0.789006643179687,0.567364856288498
55308,0.578438578308983,0.81013444546631,0.582557595933546
55861,0.592653129521534,0.828739534868572,0.595936284143836
56414,0.607144464390253,0.848145403625796,0.609890802820922
56967,0.621919178851525,0.868639204309167,0.624627639804534
57520,0.636984135395291,0.889981670675907,0.639974741717654
58073,0.652346477068041,0.911328888166821,0.65532526010503
58626,0.66801364241382,0.93345701158675,0.671237318225969
59179,0.683993381429325,0.956469887184431,0.687785590625356
59732,0.700293772616517,0.978604935588801,0.703702628416411
60285,0.716923241224281,1.00261420023038,0.720967391775141
60838,0.733890578779666,1.02444259825186,0.736663921092759
61391,0.751204964019325,1.04894890187418,0.754286098995856
61945,0.768908269202223,1.07483789682776,0.77290255302481
62498,0.78694662116907,1.09963321881719,0.790732560438266
63051,0.805362132640107,1.12521032214074,0.809124737078198
63604,0.82416577395474,1.15114022171136,0.827770605108119
64157,0.843369033114078,1.17679785828282,0.846220692204223
64710,0.862983948172053,1.20186320519353,0.86424487117755
65263,0.883023142203433,1.22824128986696,0.883213023536315
65816,0.903499861098164,1.25742653763968,0.90419977193881
66369,0.92442801446001,1.28716921355806,0.925587359982507
66922,0.945822219919927,1.31526372919686,0.945789776483929
67475,0.96769785121137,1.34536278319519,0.96743363156905
68028,0.990071090396596,1.37648480399422,0.989813089347623
68581,1.01295898468075,1.40872844536808,1.01299909052065
69134,1.03637950830503,1.4427271224844,1.03744711605104
69687,1.06035163007279,1.47723935689441,1.06226443423903
70241,1.08494030046592,1.51177746710423,1.08710035939259
70794,1.11007797100127,1.54596080682724,1.11168117350494
71347,1.13583092866806,1.58239852104461,1.13788308025582
71900,1.16222293465617,1.62201495795555,1.16637076692986
72453,1.18927919210204,1.66023650618085,1.19385540651233
73006,1.21702646394633,1.69760536997053,1.22072689133058
73559,1.24549320306793,1.73682290357543,1.24892773160242
74112,1.27470969625899,1.77634298967281,1.27734613360571
74665,1.30470822384319,1.81815268104413,1.30741096226261
75218,1.3355232370189,1.85842841439196,1.33637274079811
75771,1.36719155533911,1.90263327803154,1.36815990802024
76324,1.39975258713166,1.95073646421972,1.40275031046437
76877,1.43324857612867,1.99640490482646,1.43558991766633
77430,1.46772487813048,2.04540857149335,1.47082784441435
77983,1.50323027219652,2.09604295917536,1.50723840234665
78537,1.53988448603483,2.14835894852553,1.5448581791075
79090,1.57761200823528,2.2004813180304,1.58233872624761
79643,1.61653936267844,2.25095427655756,1.61863320248397
80196,1.65673304095649,2.30781943780758,1.65952423213413
80749,1.69826525702444,2.36480339610302,1.70050068726098
81302,1.7412146194455,2.42655925604686,1.74490855746701
81855,1.78566690514583,2.48949483845543,1.79016475141332
82408,1.83171595362046,2.55549768655768,1.83762657794148
82961,1.87946470478393,2.62389679121194,1.88681152272982
83514,1.92902640903881,2.6936167679722,1.9369462902086
84067,1.98052604498688,2.76559260274917,1.98870321710836
84620,2.03410198900427,2.83694345394736,2.04001072609585
85173,2.0899079922839,2.90990020554595,2.0924730180725
85726,2.14811553580542,2.988887296169,2.14927165178158
86279,2.20891665326332,3.07741815422707,2.21293308986122
86833,2.27264505414004,3.17245078813401,2.28126987402573
87386,2.33931516356099,3.26515038241564,2.34792899843518
87939,2.4093167430405,3.36468364956953,2.41950213194786
88492,2.48296659455494,3.47355208913934,2.49778807174927
89045,2.56062881499293,3.58301321456415,2.57650020457181
89598,2.64272466711445,3.69492609532746,2.65697536414109
90151,2.72974516276544,3.81595262230361,2.74400403326382
90704,2.8222673036927,3.94903536262754,2.83970217534038
91257,2.9209753331807,4.09328919902563,2.94343331355645
91810,3.02668897387181,4.24981845257264,3.05599155145131
92363,3.14040159904029,4.40462604137054,3.16731176165477
92916,3.26333284419184,4.57153374992259,3.28733301736239
93469,3.3970027456257,4.76113466229919,3.4236726734763
94022,3.54333891016416,4.96325247070742,3.56901307372788
94575,3.70483609281311,5.19487302134242,3.73556852869198
95129,3.88514692088014,5.45094989574915,3.91971022167072
95682,4.08814550593658,5.76203285732385,4.14340610726725
96235,4.32053868807036,6.08901823983455,4.3785372258203
