Population	PC3	PC4	PC5	PC6	PC7	PC8
ACB	2.80968208905313	-5.13279117546809	3.28501065400499	8.81695528539422	-2.17822679088185	18.2836355821948
ASW	9.66672347061878	-3.1098430939022	2.99573504937981	6.30409774345108	-2.18357754315944	6.29417925597526
BEB	-92.2779906137725	37.5356739462104	1.95704894999422	-0.0096426313405154	-2.643539740244	0.248337346391717
CDX	7.71391156988141	-43.6369694585793	-20.2084143885814	-2.49506103791458	-52.5102245708541	-1.29070517341035
CEU	26.9280566182181	-46.0792061218718	11.09472049467	1.58023902817102	-4.93422950001375	0.801446363311048
CHB	16.9738665763704	-35.8683856894863	6.26691752920485	0.774126401433165	18.2820961367943	0.897550694898571
CHS	14.8405640626754	-40.2407789670843	-2.52504903053865	-0.332150099894228	-4.07435428681864	0.379211829495875
CLM	63.780551742645	30.4571663645956	-20.0195471242433	-2.85737715025682	5.8201852580517	1.4988276481211
ESN	0.350142715177782	-0.0364953030274357	2.82600529070159	29.8631452815101	-3.45261896305172	42.1124749756734
FIN	31.3710364590787	-42.1866266356825	85.2935426592798	9.41739308086754	-26.0413189278874	-12.4344635258173
GBR	27.3142773575908	-46.3034734746222	10.6356419322257	1.40393257820618	-5.28480408635156	1.31899541768913
GIH	-100.747671790232	43.3165192292903	2.87258257737646	0.255232152815168	0.547307408935548	0.684476423735388
GWD	0.23761803711968	-1.19506907672177	5.47188924107613	-75.0471721179081	2.1527030716257	-27.222987707199
IBS	27.3105730668573	-51.4078107721622	-26.3947101500396	-3.46917950078516	9.46489117766976	3.34902286371936
ITU	-110.275137324895	47.8185447180297	-1.66426928311848	-0.502030405850965	0.937392348036981	0.201151499996202
JPT	17.5116195820222	-28.4629036745887	24.5377101158604	2.69082777254627	73.0310515323193	2.34633589219027
KHV	6.18098619720445	-40.7799264102483	-15.9984132750096	-1.88478952110814	-41.2284968441339	-1.07949804575101
LWK	-2.00235629366297	-1.49522095873163	-17.3158808681742	64.024364676863	6.0035680037217	-80.040823897758
MSL	-0.0358252032605072	0.176990045019638	7.44611750954935	-38.1826885895054	-1.0163567224188	-2.43366006196423
MXL	90.8425515966443	86.0896046476403	-6.86894314159526	-1.57759744735275	1.63760493961023	0.11018239542411
PEL	138.545828148231	173.641908532904	5.20983491316329	1.53358032876757	-9.00291589056035	-0.627167404752456
PJL	-87.0732709702413	35.2067364171159	2.04099079258027	-0.0301410112641281	-0.0860970122081565	0.410802498065587
PUR	43.3098359196423	-3.78719856284629	-26.5839227531883	-4.61365604628389	9.14892645779893	1.68225635699985
STU	-109.507062147366	47.1943629823425	-1.56431390832475	-0.409795161688557	1.41092499766579	0.357741987135801
TSI	18.5971900292363	-47.5199200135178	-34.4830412139964	-3.55317438099319	12.7655410585972	3.90386352492917
YRI	0.437357025002135	-0.022745374017086	2.66540988884196	20.7105495669078	-2.29683799241922	33.5677903552419
